file,text
/content/drive/MyDrive/tdp/dataset2/a_Jorge_0.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jorge_1.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jorge_2.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jorge_3.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jorge_4.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jorge_5.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jorge_6.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_0.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_1.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_2.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_3.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_4.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_5.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_6.wav,a
/content/drive/MyDrive/tdp/dataset2/ache_Jorge_0.wav,ache
/content/drive/MyDrive/tdp/dataset2/ache_Jorge_1.wav,ache
/content/drive/MyDrive/tdp/dataset2/ache_Jorge_2.wav,ache
/content/drive/MyDrive/tdp/dataset2/ache_Jorge_3.wav,ache
/content/drive/MyDrive/tdp/dataset2/ache_Jorge_4.wav,ache
/content/drive/MyDrive/tdp/dataset2/ache_Jorge_5.wav,ache
/content/drive/MyDrive/tdp/dataset2/ache_Jorge_6.wav,ache
/content/drive/MyDrive/tdp/dataset2/ache_Leonnela_0.wav,ache
/content/drive/MyDrive/tdp/dataset2/ache_Leonnela_1.wav,ache
/content/drive/MyDrive/tdp/dataset2/ache_Leonnela_2.wav,ache
/content/drive/MyDrive/tdp/dataset2/ache_Leonnela_3.wav,ache
/content/drive/MyDrive/tdp/dataset2/ache_Leonnela_4.wav,ache
/content/drive/MyDrive/tdp/dataset2/ache_Leonnela_5.wav,ache
/content/drive/MyDrive/tdp/dataset2/ache_Leonnela_6.wav,ache
/content/drive/MyDrive/tdp/dataset2/be_Jorge_0.wav,be
/content/drive/MyDrive/tdp/dataset2/be_Jorge_1.wav,be
/content/drive/MyDrive/tdp/dataset2/be_Jorge_2.wav,be
/content/drive/MyDrive/tdp/dataset2/be_Jorge_3.wav,be
