file,text
/content/drive/MyDrive/tdp/dataset2/a_Alessandro_0.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Alessandro_1.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Alessandro_2.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Alessandro_3.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Alessandro_4.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Alessandro_5.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Alessandro_6.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Erikc_0.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Erikc_1.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Erikc_2.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Erikc_3.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Erikc_4.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Erikc_5.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Erikc_6.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Flor_0.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Flor_1.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Flor_2.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Flor_3.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Flor_4.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Flor_5.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Flor_6.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jack_0.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jack_1.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jack_2.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jack_3.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jack_4.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jack_5.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jack_6.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jorge_0.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jorge_1.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jorge_2.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jorge_3.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jorge_4.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jorge_5.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Jorge_6.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_0.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_1.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_2.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_3.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_4.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_5.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Leonnela_6.wav,a
/content/drive/MyDrive/tdp/dataset2/a_Pedro_0.wav,a
